target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.01,14308.4
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.01,14905.6
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.01,15211.6
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.01,15525.9
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.025,14676.4
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.025,15310.7
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.025,15545.5
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.025,15958.8
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.05,14705.3
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.05,15352.5
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.05,15552.9
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.05,16002.4
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.1,14720.7
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.1,15368.8
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.1,15568.7
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.1,16212.7
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.15,14754.7
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.15,15411.1
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.15,15587.1
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.15,16243.3
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.2,14766.7
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.2,15431.0
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.2,15605.6
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.2,16252.3
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.25,14767.6
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.25,15449.1
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.25,15610.0
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.25,16305.7
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.3,14786.0
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.3,15462.8
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.3,15664.4
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.3,16345.1
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.35,14792.8
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.35,15476.3
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.35,15716.1
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.35,16353.8
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.4,14817.7
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.4,15478.9
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.4,15718.4
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.4,16364.7
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.45,14819.0
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.45,15493.4
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.45,15728.0
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.45,16414.5
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.5,14819.1
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.5,15494.6
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.5,15732.4
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.5,16455.9
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.55,14831.0
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.55,15500.3
3 wk ahead cum death,2021-09-27,2021-10-16,01,quantile,0.55,15781.0
4 wk ahead cum death,2021-09-27,2021-10-23,01,quantile,0.55,16503.0
1 wk ahead cum death,2021-09-27,2021-10-02,01,quantile,0.6,14831.0
2 wk ahead cum death,2021-09-27,2021-10-09,01,quantile,0.6,15501.3
