target,forecast_date,target_end_date,location,type,quantile,value
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.01,12219.0
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.01,12219.0
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.01,12219.0
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.01,12219.0
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.025,12219.0
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.025,12273.5
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.025,12409.0
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.025,12559.1
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.05,12332.6
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.05,12527.9
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.05,12584.7
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.05,12841.0
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.1,12355.7
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.1,12566.5
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.1,12729.4
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.1,12889.4
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.15,12382.6
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.15,12594.1
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.15,12762.7
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.15,13020.5
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.2,12406.9
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.2,12622.6
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.2,12821.7
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.2,13037.1
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.25,12416.8
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.25,12637.9
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.25,12864.6
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.25,13070.1
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.3,12431.9
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.3,12652.2
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.3,12872.7
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.3,13097.8
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.35,12435.0
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.35,12666.9
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.35,12906.6
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.35,13111.4
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.4,12446.0
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.4,12685.3
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.4,12920.1
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.4,13114.4
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.45,12450.4
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.45,12699.4
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.45,12940.2
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.45,13139.8
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.5,12455.5
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.5,12715.0
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.5,12954.0
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.5,13223.0
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.55,12459.8
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.55,12721.7
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.55,12996.3
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.55,13248.9
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.6,12468.3
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.6,12733.2
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.6,13005.3
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.6,13271.9
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.65,12476.4
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.65,12746.0
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.65,13026.6
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.65,13308.4
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.7,12487.5
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.7,12771.8
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.7,13057.7
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.7,13344.3
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.75,12501.0
2 wk ahead cum death,2021-08-30,2021-09-11,01,quantile,0.75,12782.1
3 wk ahead cum death,2021-08-30,2021-09-18,01,quantile,0.75,13080.4
4 wk ahead cum death,2021-08-30,2021-09-25,01,quantile,0.75,13377.4
1 wk ahead cum death,2021-08-30,2021-09-04,01,quantile,0.8,12509.6
